	entry	grammar	definition	xr
8815	koṭṭha	masculine, neuter	the stomach; the abdomen	
8816	koṭṭha	masculine, neuter	an enclosure; a pit or room or container for storing grain; a storeroom, a granary	
8817	koṭṭhaka	masculine	an enclosure or room at the gate, a porch, a gatehouse	
8818	koṭṭhaka	masculine	(masculine) a stone-cutter, a mason (?); a carpenter (?)	
8819	koṭṭhāgāra	neuter	granary; storeroom	koṭṭha
8820	koṭṭhu	masculine	a jackal	kotthu
8821	koṭṭhuka	masculine	a jackal	kotthuka
8822	koṇa	masculine	a corner; an angle	
8823	koṇa	masculine	the plectrum (of a vīṇā)	
8824	koṇapa	neuter	a corpse	
8825	kotūhalamaṅgala	neuter	what is auspicious and portentous; special ceremonies and auspicious rites	kutūhalamaṅgala
8826	kotūhalamaṅgalika	adjective	rusting in omens and portents; setting store by ceremonies and auspicious rites; superstitious	
8827	kotūsālā	feminine	a discussion hall	kutūsālā
8828	kotthali	feminine	a (small) granary; a container for storing grain (?)	kotthaḷi
8829	kotthaḷi	feminine	a (small) granary; a container for storing grain (?)	kotthali
8830	kotthu	masculine	a jackal	koṭṭhu
8831	kotthuka	masculine	a jackal	koṭṭhuka
8832	kodaṇḍa	masculine, neuter	a kind of bow	
8833	kodha	masculine	anger	
8834	kodhagaru	adjective	respectful; obedient to anger	kodha
8835	kodhana	adjective	inclined to anger, easily angered, bad-tempered; angry	
8836	kodhasammadasammatta	adjective	exhilarated with the intoxication of anger	kodha
8837	kodhasāmanta	adjective	close to anger, associated with anger	kodha
8838	kodhupāyāsin	adjective	angry and annoyed	kodha
8839	kodhupāyāsi	adjective	angry and annoyed	kodha
8840	konāmā	adjective	of what name? called what?	['kānāmā', 'kiṁnāma', 'kinnāma', 'kenāmā']
8841	kopa	masculine	irritation, disturbance (of the humors of the body); irritation, agitation, anger	
8842	ko pana vado	phrase	not to speak of …, never mind …	['ka', 'kiṁ']
8843	kopaṇīya	adjective	tending to make angry; (that) which disturbs	kopaneyya
8844	kopaneyya	adjective	tending to make angry; (that) which disturbs	kopanīya
8845	kopayati	causative present 3 singular	agitates; disturbs; provokes; makes invalid; violates	['kopeti', 'kuppati']
8846	kopāntara	adjective	inwardly angry	kopa
8847	kopita	past participle adjective	disturbed; provoked; angered	['kuppati', 'kopeti']
8848	kopiyamāna	passive present participle adjective		kopeti
8849	kopīna	neuter	the pudenda, the private parts	
8850	kopīnanidaṁsana	adjective (f. ~ī)& /or ~ī feminine	revealing the pudenda; exposure of the private parts	kopīna
8851	kopeti	causative present 3 singular	agitates; disturbs; provokes; makes invalid; violates	['kopayati', 'kuppati']
8852	komāra	adjective (f. ~ī)& neuter	youthful; virginal; (neuter) childhood, youth; (feminine) who has not had a previous husband, who was a virgin at marriage	
8853	komāraka	adjective & neuter	(adjective) young; belonging to childhood or youth; juvenile; concerned with children or young people; virginal, chaste	komārika
8854	komāraka	adjective & neuter	(neuter) what belongs to childhood; childishness	komārika
8855	komārabrahmacariyā	neuter	complete chastity; the preserving of virginity	['komārībrahmacariyā', 'komāra']
8856	komārika	adjective & neuter	(adjective) young; belonging to childhood or youth; juvenile; concerned with children or young people; virginal, chaste	komāraka
8857	komārika	adjective & neuter	(neuter) what belongs to childhood; childishness	komāraka
8858	komārikā	feminine	(who is) a young girl; (who is) a virgin; a virgin wife	komāriyā
8859	komāriyā	feminine	(who is) a young girl; (who is) a virgin; a virgin wife	komārikā
8860	komārībrahmacariyā	neuter	complete chastity; the preserving of virginity	['komārabrahmacariyā', 'komāra']
8861	komudī	feminine	moonlight; the full moon day in the month kattika	
8862	kora	adjective	lame (?)	
8863	kola	masculine, neuter	the jujube tree; the fruit of the jujube	
8864	kolaṭṭhi	neuter	the stone or kernel of the jujube fruit	kola
8865	kolaṅkola	adjective (masculine)	one who goes from (good) family to (good) family, the middlemost type of sotāpanna ; who will become an arhat within six more births	
8866	kolaputti	feminine (or masculine?)	the state of being a son of a good or noble family	
8867	kolamba	masculine	a large pot or vessel	
8868	kolāpa	adjective	hollow	koḷāpa
8869	kolāhala	masculine, neuter & adjective	hollow	koḷāpa
8870	koleyyaka	adjective	from a noble family; belonging to a family or household, domestic	
8871	koḷāpa	adjective	(masculine, neuter) an uproar, a loud and confused noise; tumult	
8872	koḷāpa	adjective	(adjective) in an uproar	
8873	kovida	adjective	experienced, learned; knowing thoroughly; learned in, knowledgeable about (genitive, locative or ifc.)	
8874	koviḷāra	masculine	a kind of tree, Bauhinia variegata; one of the trees in the devaloka	
8875	kosa	masculine, neuter	a treasury, a storehouse; treasure, accumulated wealth	
8876	kosakāraka	masculine	a silkworm	
8877	kosakāhāra	adjective	living on (only) a small bowlful of food	
8878	kosajja	neuter	sloth, indolence	
8879	kosalla	neuter	competence, proficiency; skill; knowledge (about); goodness	kosalya
8880	kosalya	neuter	competence, proficiency; skill; knowledge (about); goodness	kosalla
8881	kosātakībīja	neuter	a kosātakī seed	
8882	kosārakkha	masculine	a treasurer; a guardian of the treasury	kosa
8883	kosi	feminine	a sheath, a scabbard	
8884	kosika	adjective & neuter	silken; silk, silk cloth	kosiya
8885	kosikāraka	masculine	a silk weaver	
8886	kosikaṁsu	masculine, neuter	a silk filament	kosika
8887	kosiya	adjective & neuter	silken; silk, silk cloth	kosika
8888	koseyya	adjective & neuter	(adjective) silken, made of silk	
8889	koseyya	adjective & neuter	(neuter) a (jeweled) silken covering	
8890	koseyyapāvāra	masculine	a silk cloak	koseyya
8891	koseyyasukhuma	neuter & adjective	very fine silk; made of very fine silk	koseyya
8892	kosohita	adjective	encased; enclosed	kosa
8893	kriyā	feminine	doing; performance; action, activity; what one does or has done; way of acting	kiriya
8894	kriyā	feminine	morally significant activity which produces effects	kiriya
8895	krubbati	present 3 singular	does, makes; acts; performs; acts for the advantage or injury of another; (especially absolutive) puts, places	['karoti', 'kubbati']
8896	klissati	3 singular	is troubled, is afflicted; feels pain	kilissati
8897	klissati	3 singular	is or becomes dirty or stained; is morally stained	kilissati
8898	klesa	masculine (& neuter)	affliction; distress; especially that which afflicts, that which stains; an affliction, a defilement; a defiling passion, especially sexual desire, lust	kilesa
8899	kva	indeclinable	where?	kvaṁ
8900	kvaṁ	indeclinable	where?	kva
8901	kvacana	indeclinable	somewhere; anywhere; in or regard to anything	['kvacani and kvacini', 'kva']
8902	kvacani	indeclinable	somewhere; anywhere; in or regard to anything	['kvacana and kvacini', 'kva']
8903	kvaci	indeclinable	anywhere; in anything; somewhere, in some places; sometimes	kva
8904	kvacini	indeclinable	somewhere; anywhere; in or regard to anything	['kvacana and kvacani', 'kva']
8905	khagga	masculine	a sword; especially as part of the regalia	
8906	khaggabaddhakappa	adjective	like a rhinoceros’ horn; (or like a rhinoceros) i.e. solitary	khagga
8907	khajja	future passive participle adjective & neuter	(adjective) to be eaten; (neuter) solid hard food; a cake; pastry	khādati
8908	khajjaka	neuter (& masculine)	hard food; a cake, pastry	
8909	khajjakabhājaka	masculine	one who distributes hard food, cakes etc.	khajjaka
8910	khajjati	passive present 3 singular	is eaten; is bitten; is consumed	khādati
8911	khajjanta	present participle adjective (f. ~āntī)		khajjati
8912	khajjabhājaka	masculine	one who distributes hard food or cakes	khajja
8913	khajjabhojja	neuter	hard and soft food; various kinds of food	khajja
8914	khajjiṁ	aorist 1 singular		khajjati
8915	khajjupanaka	masculine	a firefly, a glowworm	['khajjūpanaka', 'khajjopanaka']
8916	khajjūpanaka	masculine	a firefly, a glowworm	['khajjupanaka', 'khajjopanaka']
8917	khajjopanaka	masculine	a firefly, a glowworm	['khajjūpanaka', 'khajjupanaka']
8918	khañja	adjective & masculine	lame; limping; a lame man	
8919	khañjati	present 3 singular	walks lame; limps	khañjati
8920	khañjamāna	present participle adjective		khañjati
8921	khaññati	passive present 3 singular		khaṇati
8922	khaṭakhaṭasadda	adjective & neuter	(adjective) making a clacking or clattering noise; (neuter) a clacking or clattering noise	
8923	khaṭopikā	feminine	a small bedstead	
8924	khaṇa	masculine (& neuter?)	a moment; an instant	
8925	khaṇa	masculine (& neuter?)	a fit or suitable moment; an opportunity; especially the right moment to be born as a man, birth in favorable circumstances (when one can take advantage of a Buddha being in the world)	
8926	khaṇakicca	adjective	having tasks every moment (?); acting immediately, or when there is opportunity, or at the right time (?)	khaṇa
8927	khaṇaññu	adjective	knowing the right moment, recognizing the opportunity	khaṇa
8928	khaṇati	present 3 singular	hurts, injures; impairs	khanati
8929	khaṇati	present 3 singular	digs; digs up; excavates	khanati
8930	khaṇanta	present participle adjective		khaṇati
8931	khaṇātīta	adjective	having missed the opportunity; who has let the right moment pass	khaṇa
8932	khaṇāpeti	causative present 3 singular	causes to dig; makes excavate	['khanāpeti', 'khaṇati']
8933	khaṇi	aorist 3 singular		khaṇati
8934	khaṇita	past participle adjective	dug; excavated	khaṇati
8935	khaṇitvā	absolutive		khaṇati
8936	khaṇimsu	3 plural		khaṇati
8937	khaṇittī	feminine	(from khaṇati) an instrument for digging; a spade; a trowel	kanittī
8938	khaṇe khaṇe	phrase	every moment; at various moments	khaṇa
8939	khaṇena	intsr. adverb	in a moment, in an instant	khaṇa
8940	khaṇḍa	adjective & neuter	(adjective) broken; split; having gaps or breaks; defective, incomplete	
8941	khaṇḍa	adjective & neuter	(masculine, neuter) a break, a gap; a deficiency	
8942	khaṇḍakārin	adjective	making a break (in); making defective	khaṇḍa
8943	khaṇḍakāri	adjective	making a break (in); making defective	khaṇḍa
8944	khaṇḍadanta	adjective (f. ~ā & ~ī)	with broken or missing teeth; gap-toothed	khaṇḍa
8945	khaṇḍanimitta	adjective	incompletely defined	khaṇḍa
8946	khaṇḍaphulla	adjective (neuter)	(what is) broken and split; (what is) in disrepair	
8947	khaṇḍākhaṇḍika	adjective	split in pieces	khaṇḍa
8948	khaṇḍākhaṇḍikaṁ	adverb	into pieces; into small pieces	khaṇḍākaṇḍhika
8949	khaṇḍicca	neuter	the state of being broken, brokenness	
8950	khaṇḍita	past participle adjective	cut, torn, broken; impaired	
8951	khata	past participle adjective	hurt, injured; impaired	khaṇati
8952	khattar	masculine	an attendant, a porter, an equerry; a steward	
8953	khattar	masculine	(masculine) a digger; one who digs	
8954	khatta	masculine	an attendant, a porter, an equerry; a steward	
8955	khatta	masculine	(masculine) a digger; one who digs	
8956	khattavijjā	feminine	the knowledge or competence required of a khattiya; polity; self-interest; expediency	
8957	khattavijjāsippa	neuter	the skill in polity; the branch of knowledge that is political science	khattavijjā
8958	khattiya	masculine & adjective	(masculine) a member of the warrior or ruling class; a ruler, a chief	
8959	khattiya	masculine & adjective	(adjective) of the warrior or ruling class	
8960	khattiyakaññā	feminine	the daughter of khattiya, a khattiya girl	
8961	khattiyamahāsāla	masculine	a rich khattiya	khattiya
8962	khattiyā	feminine	a woman of the warrior or ruling class; a princess	
8963	khattiyānī	feminine	a woman of the warrior or ruling class; a princess	
8964	khattiyābhiseka	masculine	inauguration as king	khattiya
8965	khattiyī	feminine	a woman of the warrior or ruling class; a princess	
8966	khanati	present 3 singular	hurts, injures; impairs	khaṇati
8967	khanati	present 3 singular	digs; digs up; excavates	khaṇati
8968	khananta	present participle adjective		khanati
8969	khanāpeti	causative present 3 singular	causes to dig; makes excavate	['khaṇāpeti', 'khanati']
8970	khanita	past participle adjective	dug; excavated	khanati
8971	khanitvā	absolutive		khanati
8972	khanimsu	3 plural		khanati
8973	khanittī	feminine	(from khaṇati) an instrument for digging; a spade; a trowel	kaṇittī
8974	khantar	masculine	one who bears patiently, who endures; who forgives	khamati
8975	khanta	masculine	one who bears patiently, who endures; who forgives	khamati
8976	khanti	feminine	patience; forbearance; endurance	
8977	khanti	feminine	receptivity; predilection; preference; preferred view; (also khantī)	
8978	khantī	feminine	patience; forbearance; endurance	khanti
8979	khantī	feminine	receptivity; predilection; preference; preferred view	khanti
8980	khandha	masculine	the shoulder, the upper part of the back (in men and animals)	
8981	khandha	masculine	the stem or trunk of a tree	
8982	khandha	masculine	the agglomeration or groups of good practices or virtues	
8983	khandha	masculine	the five collections or groups which are the elements of (personal) existence	
8984	khandhaka	masculine	a chapter, a section; one of the 22 sections of the Mahāvagga and Cullavagga of the Vinayapiṭaka	
8985	khandhaka	masculine	the section of the Vinayapiṭaka consisting of the Mahāvagga and Cullavagga	
8986	khandhakavatta	neuter	one of the 14 rules of conduct prescribed in the Vattakkhandhaka (Kd 18)	khandhaka
8987	khandhakavatta	neuter	one of 82 subsidiary rules of conduct prescribed in the Khandhaka section of the Vinayapiṭaka; 71 rules from Pārivāsikakkhandhaka (Kd 12) and eleven from Kammakkhandhaka (Kd 11)	khandhaka
8988	khandhaja	adjective (masculine)	what grows from the stem, a shoot, a sprout	khandha
8989	khandhabīja	neuter	(what has its) origin or sources in a trunk or stem	khandha
8990	khandhādhivacana	neuter	designation as khandhas	khandha
8991	khandhādhisa	adjective	like the elements of existence	khandha
8992	khama	adjective	patient, enduring; able to put up with; forbearing; amenable to; adequate, fit for; appropriate, proper for	khamati
8993	khamataṁ	imperat. 3 singular		khamati
8994	khamati	present 3 singular        (after ‘na’ very commonly written kkhamati);	bears patiently, puts up with; submits to; is capable of bearing, stands up to	
8995	khamati	present 3 singular        (after ‘na’ very commonly written kkhamati);	pardons, forgives someone (genitive/dative) for something (accusative); bears with, indulges	
8996	khamati	present 3 singular        (after ‘na’ very commonly written kkhamati);	seems good (to, genitive/dat); is agreeable (to); seems preferable	
