pali	grammar	meaning	from
gāmaṇḍala	masculine	a young man; an (insolent?) village youth(?) a young cowherd	gomaṇḍala
gāmadhamma	masculine	sexual intercourse	
gāmapaṭṭa	neuter	the site of a village	
gāmapoddava	masculine or adjective	one given to bodily embellishments	
gāmabandhana	neuter	restraint in a village, restriction to a villager	
gāmī	adjective	going, moving (to), directed to; relating to, influenced by; behaving	
gāmika	masculinea	a villager; a leading villager; a village headman	
gāmeti	present 3 singular	causes to go (to); sends	
gāyati	present 3 singular	sings, recites in a singing manner	
gāyi	aorist 3 singular	sang; recited	
gārayha	future passive participle adjective & masculinen	(adjective) to be censured; deserving or involving reproach	
gārayha	future passive participle adjective & masculinen	(masculine, neuter or adjective) the classification of a saṅgha offense	
gārava	masculinen & adjective	(masculine, neuter) respect; reverence; esteem	garu
gārava	masculinen & adjective	(neuter) heaviness	garu
gārava	masculinen & adjective	(adjective) respectful; full of esteem	garu
gāḷha	past participle adjective	tight, firm, strong, vehement	
gāḷhaṃ	accusative	strongly, firmly; vehemently; too firmly	
gāḷhapalepanena	adjective	smeared with a thick ointment; thickly smeared	
gāḷhabandhanaṃ bandhati	adjective	binds fast; ties up tightly	
gāḷhita	adjective	pervaded; penetrated (by); pressed together	
gāḷhūpalepanena	adjective	smeared with a thick ointment; thickly smeared	
gāvī	feminine	a cow	
gāha	masculine	a hiding place; retreat; or diving in, penetrating	
gāha		(adjective) seizing	
gāha		(adjective) seizing; seizure; taking hold of; taking up; receiving	
gāhaka	masculine	(one) who receives, a recipient; one who holds	
gijjha	masculine & adjective	a vulture	
gijjhita	past participle adjective (passive)	greedily desired	
giñjakāvasatha	masculine	the brick hall	
gita	past participle adjective & neuter (& ā, feminine?)	(adjective) sung, chanted	gayati
gita	past participle adjective & neuter (& ā, feminine?)	(nominative, ~ā, feminine) singing; a song;	gayati
giddha	past participle adjective	eagerly desiring; hungry, greedy (for, locative)	
giddhimāna	masculine (or neuter)	greed and pride	
giddhilobha	masculine	greed and covetousness; greedy desire	
giddhilobhī	adjective	greedy and covetous; greedily desiring	gedhi(n)
gini	masculine	fire	
gimha	masculine; plural locative ~asu, ~isu, ~esu	the hot season; summer	
gimha	masculine; plural locative ~asu, ~isu, ~esu	a summer month; (plural) the (four months of the) hot season	
gimha	masculine; plural locative ~asu, ~isu, ~esu	the heat of summer	
gimhāna	masculine or neuter	the hot season; a month of the hot season	
gimhika	adjective	belonging to the hot season; for the hot season	
girā	feminine	verse; speech, words; voice	
giri	masculine	a mountain; a hill	
giriaggasamajja	masculine, neuter	a festival held at rājagaha	
girigabbhara	neuter masculine	a mountain cleft or cave	
giriguhā	feminine	a mountain cleft; a gorge or cave	
giribbaja	masculine	a place enclosed by hills or mountains (like a cow pen); the name (of the area of rājagaha)	
girimuddha	masculine	the top or crest of a hill	
gilati	present 3 singular	swallows; devours; eats	
gilabaḷisa	adjective	swallowing the hook; who has swallowed the hook	
gilāna	past participle adjective, masculine feminine, & neuter	(adjective & masculine feminine) unwell; ill; unfit; one who is unwell; a sick person	
gilāna	past participle adjective, masculine feminine, & neuter	(neuter) sickness	
gilānaka	adjective & masculine	unwell; ill; one who is unwell; a sick person	
gilānatiritta	adjective (neuter)	(what is) is leftover from a sick person’s meal	
gilānālaya	masculine, neuter	pretense of illness	
gilānupuṭṭhāka	adjective (f. ~ī)	one who attends the sick; one who cares for a sick person	
gilānapaccaya	masculine	(medical) support, remedy for the (bhikkhu who is) sick	
gilānapucchaka	masculine	(one) who asks about (the health) of a sick person; (one) who visits the sick	
gilānasālā	feminine	a sick room; an infirmary	
gihī	masculine	one who possesses a house, a householder; one who lives the household (world and sensual) life (often contrasted with pabbajita)	
gihigata	adjective	associated with householders; known to house holders	
gihiddhaja	masculine	the emblem or characteristic sign of a householder	
gihinivattha	neuter	the kind or style of (under) garment worn by a householder	
gihinivattham	adverb masculine	in the way a householder wears his (under) garments	
gihisaṃyojana	neuter	the fetter that binds a householder	
gihipatirūpakara	adjective	appropriate for householders	
gihipāruta	neuter	the kind or style of (under) garment worn by a householder	
gihipārutam	adverb neuter	in the way a householder wears his (under) garments	
gihibandhana	neuter	the bonds which bind a householder	
gihiliṅga	neuter	the distinctive marks or character of a householder	
gihivikata	adjective	(what is) produced by, belonging to, a householder	
gihivyañjana	neuter	a distinctive sign of a householder	
gihīsaṃyojana	neuter	the fetter that binds a householder	
gihinī	feminine	the wife of a householder; a woman who lives the household (worldly and sensual) life	
gīta	past participle adjective & neuter , (neuter f)	sung; recited; chanted	
gīta	past participle adjective & neuter , (neuter f)	singing a song	
gītassara	masculine	the sound or tone of singing; a singing accent or tone	
gīvā	feminine	the neck (of humans and animals); the neck of a jar	
gīveyyaka	neuter	a necklace	
gīveyyaka	neuter	the neck piece of a bhikkhu’s robe; neck-binding	
guṇa	masculine	a secondary element; a quality, an attribute; especially a good quality	
guṇa	masculine	a strand, a subdivision; a tie; a string; bow string; the string of a musical instrument	
guṇaka	neuter (or masculine)	stitching to strengthen the edge of a belt	
guṇavanta	adjective	possessed of good qualities or virtues; excellent, estimable	
gutta	past participle adjective	guarded; protected; watchful; protector; defender; preserver	
guttadvāra	adjective	with means of access (of the sense-faculties) guarded; defended; controlled	
gutti	feminine	protection; guarding; watchfulness; controlling	
gundā	feminine	the rush nut, cyperus rotundus	
gumba	masculine	a troop of soldiers; a guard	
gumbiya	masculine	one of a troop of soldiers; a guard	
guyha	future passive participle adjective	what is to be covered or concealed; the parts of the body which to be covered, especially the private parts; what is to be kept secret, secret; private; a secret	
guyhamanta	masculine	a secret or private discussion or plan	
gulasi	feminine	a kind of plant	
guḷa	neuter a	a type of sugar; in lumps or liquid; treacle; molasses	
guḷapiṇḍa	masculine	a lump of sugar	
guḷavākala	adjective	with a thick (or knotted? or matted?) fringe	
guḷāsava	masculine	a spirit distilled from sugar or molasses	
guḷāguṇṭhikajāta	adjective	become enveloped in a tangled ball; knotted in ball; in a tangle of threads	
guḷikā	feminine	a pill; a small ball or globe; a globule	
guhā	feminine	an enclosed (hiding) place or space; a cave; a cavern	
guhāsaya	adjective	being in the body	
gūtha	neuter	feces; dung; excrement	
gūthādī	mf(~ī)	eating excrement; one who feeds on dung	
gūthakūpa	masculine	a cesspit	
gūthagata	adjective & neuter	(adjective) fallen into dung; covered in dung; smeared in excrement	
gūthagata	adjective & neuter	(neuter) excrement; dung	
gūthaniraya	masculine	the excrement hell	
gūthabhakkha	adjective	one who feeds on excrement	
gūthabhastā	feminine	a bag of dung	
gūḷhaka	adjective	hidden; secret	
gedha	masculine feminine	greedy, hungry desire; eager longing	
gedha	adjective	thick, dense, entangled, or a thicket	
gedhi	feminine	greedy, hungry desire; wanting	
gedhī	adjective	greedy for; eagerly longing for	
gedhikata	adjective	made greedy; become greedy; longing for	
gedhitacitta	adjective	without thoughts; greedily desirous (of); longing (for)	
geyya	future passive participle adjective (neuter)	the name of one of the nine categories (aṅgas) of the scriptures	
gerukaparikamma	neuter	treating or decorating with red ocher	
gelañña	neuter	weakness; illness; sickness	
geha	neuter	house; dwelling place; shelter; a home, a household; especially that of a layman, living in a worldly life in a family	
gehanissita	adjective	connected with, attached to, rooted in, the household (sensual) life	
gehasita	adjective	connected with, attached to, rooted in, the household (sensual) life; appropriate only for the household life	
go	masculine/feminine	an ox; a cow; (plural) cattle	
gohata	adjective	churned into sharped clods by cattle	
gokāṇā	feminine	a cow blind in one eye	
gokula	neuter	a cattle-shed	
goghaṃsīka	feminine	a “cow rubber”?; a roller; a rod	
goghātaka	masculine	one who kills cows; a butcher	
gocara	masculine	a grazing; search for food; where and on what animals feed; the particular feeding ground, the particular food of an animal	
gocara	masculine	a mendicant’s begging-round; where mendicants (properly) beg for food	
gocara	masculine	where the mind (properly) ranges and finds sustenance; a field or scope or sphere of actions or attention	
gocaragāma	masculine	a village from where a mendicant obtains food; a village where mendicants can (properly) beg for food	
gocariya	adjective	of reddish or brownish color	
goṭṭha	masculine, neuter	a cow pen; a cattle-fold	
goṇa	masculine	an ox; a bull	
goṇaka	masculine	a long haired woolen rug or cover	
goṇakatthata	adjective	spread with a woolen cover	
gotama	adjective	belonging to the gotama clan	
gotamī	feminine	a woman of the gotama clan	
gotta	n & masculine pluralural	(neuter) exogamous kinship group, claiming descent from a common ancestor (often a vedic ṛṣi); a sept, a clan; the clan name	
gotta	n & masculine pluralural	a related group or class; a group of similar individuals or concepts; a religious group	
gotta	n & masculine pluralural	(masculine plural) the (members) of the kinship group	
gottapaṭisarī	adjective	referring to, relying on lineage	
gotrabhū	adjective or masculine neuter	destroying the lineage	
godamaka	masculine	a cattle-trainer; a cattle-driver	
godamma	masculine	a bullock to be tamed; a young bullock	
godharaṇī	adjective (feminine)	a cow in calf	
godhūma	masculine	grain, wheat	
gonaṅgula	masculine	a kind of black colored monkey	
gonisādikā	adjective (feminine)	(a place for storage or cooking, kappiyabhūmi or kappiyakuti) sited informally in an unfenced settlement(?) (as cows settle? or like encampments of cowherds (nomads) ? or among the cattle ?)	
gonisādiniviṭṭha	adjective	not settled in an organized way, settled with dwellings in small groups	
gopa	masculine	a cowherd	
gopaka	masculine	a cowherd; a guardian	
gopakhuma	adjective	having eyelashes like that of a heifer	
gopada	neuter	a cow’s hoof print	
gopasū	masculineplural	cattle and other domestic animals	
gopānasī	feminine	a rafter; a curved roof beam	
gopānasīvaṅka	adjective	as crooked as a gopānasī	
gopāla	masculine	a cowherd	
gopālaka	masculine	a cowherd	
gopālikā	feminine	a cowgirl	
gopita	past participle adjective	guarded; protected; defended	
gopitar	masculine	a leader of the herd	
gopī	feminine	a woman herding the cows or the wife of a cowherd	
gopītakaṃ	adverb	drinking like a cow; as a cow drinks	
gopeti	present 3 singular	guards; protects; watches, keeps safe; covers, closes	
gophala	neuter	a type of (medicinal) fruit	
goppha	masculine	the ankle	
gopphaka	masculine	the ankle	
gomanta	adjective	one who possesses cattle	
gomaṇḍala	masculine	a young man; an (insolent?) village youth(?) a young cowherd	
